inner_text,electric_car,model_electric_car,correct
"New and Used Cars for Sale | AutoTrader.ca Prod Cars, Trucks & SUVs Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my car What's my car worth? Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False I know what I want Help me choose Search 346,587 Cars, Trucks & SUVs Make Any Make Acura Alfa Romeo Audi BMW Buick Cadillac Chevrolet Chrysler Dodge or Ram Ferrari Ford GMC Honda Hyundai Infiniti Jaguar Jeep Kia Lamborghini Land Rover Lexus Lincoln Maserati Mazda Mercedes-AMG Mercedes-Benz MINI Mitsubishi Nissan Porsche Ram Subaru Tesla Toyota Volkswagen Volvo AC Acadian Acura Alfa Romeo AM General American Bantam American Motors (AMC) Aston Martin Asuna Audi Austin Austin-Healey Bentley BMW BrightDrop Bugatti Buick Cadillac Chevrolet Chrysler Citroen Clenet Daihatsu Daimler Datsun De Soto De Tomaso DeLorean Dodge Dodge or Ram Dune Buggy Eagle Edsel Essex Excalibur Factory Five Racing Fargo Ferrari Fiat Fisker Ford Franklin Freightliner Gazelle Genesis GMC Graham Hino Honda Hummer Hyundai INEOS Infiniti Intermeccanica International Isuzu Jaguar Jeep Jensen-Healey Kaiser Karma Kia Lamborghini Lancia Land Rover Lexus Lincoln Lotus Lucid Maser",N,N,True
"310913 vehicles for sale  in Canada Prod Cars, Trucks & SUVs Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Back Buy online Financing Sell my car What's my car worth? Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login 310,913 vehicles for sale  in Canada Hide Not sure what you are looking for? Hide Not sure what you are looking for? Let us help you. Find your next car, truck or SUV by browsing our extensive new and pre-owned inventory from local dealerships and private sellers. You can also compare prices, trim specifications, options, reviews, scores and recall history of every vehicle. Expand to read more Discover Popular Cars in Canada Right Now Ford F-150 View inventory Learn more Ford Mustang View inventory Learn more Honda Civic View inventory Learn more Honda CR-V View inventory Learn more Mazda CX-5 View inventory Learn more Toyota RAV4 View inventory Learn more Compare Popular Models Across All Body Types SUVs Trucks Sedans Coupes Minivans Hatchbacks Wagons Convertibles Need advice? See all Owners Tips Why Do Electric Vehicle Tires Wear Out More Quickly? Jun 03, 2025  ·  4 min read Car Selling Tips Why Do EVs Depreciate So Fast? Jun 02, 2025  ·  7 min r",N,N,True
"New & Used Heavy Trucks & Commercial Trucks for Sale | AutoTrader.ca Prod Commercial / Heavy Trucks Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my truck Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False ALL TYPES HIGHWAY TRACTOR DUMP TRUCK COMMERCIAL BOX TRUCK tow truck Created with Sketch. TOW TRUCK DAYCAB icon BUS CAB & CHASSIS Previous Next Search 21,833 Commercial / Heavy Trucks New Used Any Type Auger/Digger Derrick Beverage Truck Box/Straight Truck Bucket/Boom Cab & Chassis Cabover Car Carrier Catering Truck Commercial Crane/Picker Cube/Step/Cargo Vans Daycab Dump Truck Emergency Vehicle Flatbed/Bed Trucks Grain Highway Tractor Logging Truck Lube/Fuel Mixer/Asphalt/Concrete Off Road OTHER Specialty Truck Passenger Van & Bus Plow - Spreader Refrigerated Roll Off Sanitation Truck Service/Mechanical Sport Chassis Stake Body Sweeper Tank Tow Truck Tractor Tridem Truck Body Vacuum Wash/Boiler Winch/Heavy Duty Yard Spotter/Shunt Any Make Ford Freightliner International Volvo Chevrolet Autocar Battle Motors Bibeau Blue Bird Bus Bronto Capacity CAT Caterpillar Chevrolet Commercial Babcock Diamond Dodge Dodge or Ram Durabody ElDo",N,N,True
"New & Used Trailers for Sale - Trailer Classifieds | AutoTrader.ca Prod Trailers Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my trailer Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False Search 12,456 Trailers Advanced Search New Used Any Type B-train Bulk Car Carrier Cargo Containers/Storage Curtain Side Dolley trailer Drop Deck Dry Van Dump Enclosed Flat Floats Goose neck Grain Heavy Equipment Highboy Hopper Horse Live Floor Live Stock Living Quarters Logging & Forestry Lowboy OTHER Specialty Trailer Reefer Roll-off Tag Trailer Tandem Axle Tanker Trailer Tiltbed Utility Light Duty - ATVs Utility Light Duty - Boats Utility Light Duty - Car Utility Light Duty - Landscape Utility Light Duty - Motorcycle Utility Light Duty - Snowmobile Any Make N&N Maxi-Roule Doepker Utility 3 Star 4-Star A & W A.L. Fabrication ABS ABU ACE Trailers ACNS Acro Action Trailers Advance Advantage Agassiz Airtow Trailers Alcom Altec Aluma Alutrec Amera-Lite American Hauler Apogee Armorteck ARNES Artisanal Asetrail ATC Atlas Atlas Specialty Trailers Aztec Bau-Tec Bearco Beau-Roc Beckner Trailers Bedard Best Big Tex Trailers Bluewater Trailers Boat Haule",N,N,True
"New & Used RVs for Sale - RV Classifieds | AutoTrader.ca Prod RVs Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my rv Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False ALL TYPES TRAVEL TRAILER CLASS A CLASS B CLASS C FIFTH WHEEL TRUCK CAMPER tent-trailer Created with Sketch. TENT TRAILER icon TOY HAULER Previous Next Search 18,974 RVs New Used Any Type Class A Motorhome Class B Motorhome (Camper Van) Class C Motorhome Fifth Wheel Park Model Tent Trailer Toy Hauler Travel Trailer Truck Camper Any Make Forest River Jayco Keystone RV Coachmen Winnebago 5Mars 5MARS A Liner A.C.E. Aaron Adventure Manufacturing Adventurer Adventurer Truck Campers Adventurous Aerbus Aerolite Airstream Alcom Alcom Offroad Alfa Aliner Allegro Allegro Bay Allegro Breeze Allegro Bus Allegro Red Alliance Alpha Wolf Alpine Alta Alto Alu-Cab Ameri-Camp American Coach American Dream American Eagle American Tradition Americas by Forest River Ameri-Lite Ameri-Lite by Gulf Stream Amped by Evergreen Apache Apex Apex Nano Arcadia Arctic Fox Arctic Fox North Fork Arctic Wolf Aristocrat Armadillo Armor AR-One Maxx Aspen Trail by Dutchmen Astoria Atlas Aurora Autumn R",N,N,True
"New & Used Boats for Sale – Boat Classifieds | AutoTrader.ca Prod Boats Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my boat Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False ALL TYPES BOW RIDERS FISHING BOAT CRUISER PONTOON BOATS SKI / WAKEBOARD CUDDY CABIN jet boat Created with Sketch. JET BOAT performance boat Created with Sketch. HIGH - PERFORMANCE Previous Next Search 12,395 Boats New Used Any Sub-type Bow Riders Canoe Classic Cruiser Cruising Sailboats Cuddy Cabin Day Sailers Deck Boat Fishing Boat High-Performance Boat Houseboat Inboard Inflatable Boat Jet Boat Jet Motor Jon Boats Kayak Motor Yacht Multihulls Outboard – 2 Stroke Outboard – 2 Stroke Oil Injected Outboard – 4 Stroke Paddle Boat Pontoon Boats Racing Sailboats Row Boat Runabout Ski & Wakeboard Boat Trawler Any Make Mercury Yamaha Princecraft Bayliner Lund Boat Co 1000 Island A & L Fiberglass AB Inflatables Abbott Boats Ltd Absolute Academy Yachts Achilles Inflatable Craft Advantage Boats Adventure Craft Air Nautique Alcan Alumacraft Amcat AMERICAN TURBINE Angler Boat Corp Apex Marine Aquajet Corporation AquaSpirit Aquasport Inc Aquila Armada by JYS Armada En",N,N,True
"New & Used Seadoos, Jet Skis & Watercraft for Sale | AutoTrader.ca Prod Watercraft Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my watercraft Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False Search 2,289 Watercraft Advanced Search New Used Any Make Sea-Doo/BRP Yamaha Kawasaki Bombardier Suzuki Arctic Cat Bombardier E-Surf Honda Kawasaki Les Quais De L'Estrie Mastercraft Polaris Radinn Sea-Doo Sea-Doo/BRP Suzuki Taiga Yamaha Zodiac Max. Price $1,000 $2,500 $5,000 $7,500 $10,000 $20,000 $30,000 2,289 vehicles for sale nationwide! Postal code - Required Please enter a valid {0}. Search Please enter a valid 6-digit Canadian postal code to proceed. Min payment Max payment Payment Frequency Term Postal code - Required Please enter a valid {0}. Search Please enter a valid 6-digit Canadian postal code to proceed. AdChoices Selling Your Watercraft? List It Free Dealer events in your area 2025 AutoTrader Award Winners See all Best Subcompact SUV Subaru Crosstrek Learn More Crosstrek for Sale Best Compact SUV Subaru Outback Learn More Outback for Sale Best Small Car Honda Civic Learn More Civic for Sale Best Mid-Size SUV Toyota Grand Hig",N,N,True
"New & Used Motorcycles & ATVs for Sale | AutoTrader.ca Prod Bikes & ATVs Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my bike/atv Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR Motorcycle Buyer’s Guide My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False ALL TYPES ATV STREET/STANDARD TOURING trike Created with Sketch. TRIKE CRUISER OFF ROAD icon GOLF CART / GO-KART SPORT/SUPER SPORT Previous Next Search 46,622 Bikes & ATVs New Used Any Type ATV ATV - off road Cruiser Golf Cart / Go-Kart Scooter/eBike Sport/Super Sport Street/Standard Touring Trail/Enduro Trike Unregistered - off road Any Make Yamaha Kawasaki Harley-Davidson Honda Polaris Abibaba Adly Moto AGT ALPHASPORTS AMPR’UP Aodes Apollo Motors Aprilia Arctic Cat Argo Axis Beachman Bercomac Beta Big Bear Choppers BMW Bobcat Bombardier Bourget BSA Buell California Sidecar-Trike Camoplast Campagna Can-Am Case IH CFMOTO CForce Chironex Club Car Cobra Confederate Motorcycles Covingtons Cycle City Cub Cadet Custom Custom Built Custom Carts Daymak Deere Derbi Discovery Ducati Ecolo E-Max EMMO Envo EPIC E-Rock E-Ton Evolution Excalibur Extreme Dirt Bikes E-Z-GO Gas Gas Gio GoTrax Hannigan Harley-Davidson HDK Hell Bound Steel Hibo",N,N,True
"New & Used Snowmobiles for Sale - Snowmobile Classifieds | AutoTrader.ca Prod Snowmobiles Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my snowmobile Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False Search 9,124 Snowmobiles Advanced Search New Used Any Make Ski-Doo Polaris Arctic Cat Yamaha Timbersled Arctic Cat Bombardier Camoplast Camso Honda Lynx Polaris Ski-Doo SnowDog Taiga Timbersled Widescape Yamaha Yeti Max. Price $1,000 $2,500 $5,000 $7,500 $10,000 $20,000 9,124 vehicles for sale nationwide! Postal code - Required Please enter a valid {0}. Search Please enter a valid 6-digit Canadian postal code to proceed. Min payment Max payment Payment frequency Term Postal code - Required Please enter a valid {0}. Search Please enter a valid 6-digit Canadian postal code to proceed. AdChoices Selling Your Snowmobile? List It Free Dealer events in your area 2025 AutoTrader Award Winners See all Best Subcompact SUV Subaru Crosstrek Learn More Crosstrek for Sale Best Compact SUV Subaru Outback Learn More Outback for Sale Best Small Car Honda Civic Learn More Civic for Sale Best Mid-Size SUV Toyota Grand Highlander Learn More Grand High",N,N,True
"New & Used Heavy Equipment & Construction Equipment for Sale | AutoTrader.ca Prod Heavy Equipment Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm FR Cars, Trucks & SUVs Commercial / Heavy Trucks Trailers RVs Boats Watercraft Bikes & ATVs Snowmobiles Heavy Equipment Farm Buy online Financing Sell my heavy equipment Research and advice F48DD150-D9BC-4C94-98B4-4A01A2984DA6 Research Resources Research Car Options Everything Electric & Hybrid Car Comparison Tool Price Index AutoTrader Awards Explore by Brand See All Audi BMW Ford Honda Hyundai Mercedes-Benz Mitsubishi Toyota See All Explore by Body Type SUV / Crossover Truck Sedan Coupe Minivan Hatchback Convertible Wagon Expert Reviews & Advice All Expert Reviews & Advice Advice Expert Reviews Car News Cool Stuff AutoTraderTV Own the Road Podcast FR My account Home My vehicles Saved vehicles Price alerts Saved searches Manage your ads Account settings Preference centre Log out Log in / Sign up Manage your ads FR Back to login False Search 3,637 Heavy Equipment Advanced Search New Used Any Type Aggregate Equipment Air Compressor Asphalt/Paving/Concrete Attachments Backhoe Crane Crawler/Dozer Drilling Equipment Dumper Excavator Forestry & Logging Equipment Forklifts Generator Grader Lift Mining Other Pumps and Compressors Rock/Gravel Skid Steer Spreader Tractor Trencher/Ditching/Plow Wheel Loader Any Make Yale Yamaha Honda CASE Caterpillar A & L Advance Advanced Forest Equipment AIM Allied ALLMAND BROS Altec AMI Ammann Arctic Argo Ariens ARNES ASV Atlas Copco Barko Baumalight Baumann BAY-LYNX Bercomac BF Goodrich Bilodeau Bobcat Bomag Bombardier Bucyrus CASE Case IH CAT Caterpillar Cedarapids CFMOTO Champion Clark CMI Cote Craig Crown Cub Cadet Cummins Custom Built D S Manufacturing Daewoo Deere Dieci Ditch Witch Doosan DOOSAN DAEWOO Dresser Ducar Dynapac EcoLog EDF EFI Eltec Epoke Équipement Lourd Général Erskine Everun Faresin FASSI Fiat-Allis FIA",N,N,True
